LineId,Device,year,month,day,Time,Content,EventId,EventTemplate,ParameterList
26,cup,2020,02,29,00:34:25,Start queue run: pid=32425,86cf1be4,Start queue run: pid=<*>,['32425']
27,cup,2020,02,29,00:34:25,End queue run: pid=32425,3c82302c,End queue run: pid=<*>,['32425']
28,cup,2020,02,29,01:04:25,Start queue run: pid=32589,86cf1be4,Start queue run: pid=<*>,['32589']
29,cup,2020,02,29,01:04:25,End queue run: pid=32589,3c82302c,End queue run: pid=<*>,['32589']
30,cup,2020,02,29,01:34:25,Start queue run: pid=32716,86cf1be4,Start queue run: pid=<*>,['32716']
31,cup,2020,02,29,01:34:25,End queue run: pid=32716,3c82302c,End queue run: pid=<*>,['32716']
32,cup,2020,02,29,02:04:25,Start queue run: pid=369,86cf1be4,Start queue run: pid=<*>,['369']
33,cup,2020,02,29,02:04:25,End queue run: pid=369,3c82302c,End queue run: pid=<*>,['369']
34,cup,2020,02,29,02:34:25,Start queue run: pid=508,86cf1be4,Start queue run: pid=<*>,['508']
35,cup,2020,02,29,02:34:25,End queue run: pid=508,3c82302c,End queue run: pid=<*>,['508']
36,cup,2020,02,29,03:04:25,Start queue run: pid=635,86cf1be4,Start queue run: pid=<*>,['635']
37,cup,2020,02,29,03:04:25,End queue run: pid=635,3c82302c,End queue run: pid=<*>,['635']
38,cup,2020,02,29,03:34:25,Start queue run: pid=757,86cf1be4,Start queue run: pid=<*>,['757']
39,cup,2020,02,29,03:34:25,End queue run: pid=757,3c82302c,End queue run: pid=<*>,['757']
40,cup,2020,02,29,04:04:25,Start queue run: pid=901,86cf1be4,Start queue run: pid=<*>,['901']
41,cup,2020,02,29,04:04:25,End queue run: pid=901,3c82302c,End queue run: pid=<*>,['901']
42,cup,2020,02,29,04:34:25,Start queue run: pid=1023,86cf1be4,Start queue run: pid=<*>,['1023']
43,cup,2020,02,29,04:34:25,End queue run: pid=1023,3c82302c,End queue run: pid=<*>,['1023']
44,cup,2020,02,29,05:04:25,Start queue run: pid=1148,86cf1be4,Start queue run: pid=<*>,['1148']
45,cup,2020,02,29,05:04:25,End queue run: pid=1148,3c82302c,End queue run: pid=<*>,['1148']
46,cup,2020,02,29,05:34:25,Start queue run: pid=1269,86cf1be4,Start queue run: pid=<*>,['1269']
47,cup,2020,02,29,05:34:25,End queue run: pid=1269,3c82302c,End queue run: pid=<*>,['1269']
48,cup,2020,02,29,06:04:25,Start queue run: pid=1383,86cf1be4,Start queue run: pid=<*>,['1383']
49,cup,2020,02,29,06:04:25,End queue run: pid=1383,3c82302c,End queue run: pid=<*>,['1383']
50,cup,2020,02,29,06:24:54,1j7vYU-0000QH-NM <= georgie@mail.cup.com U=www-data P=local S=1006 id=20200229062454.Horde.xYQprzGuyI4pCJ3_NZ4cGsC@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7vYU-0000QH-NM', '<= georgie@mail.cup.com', 'www-data', 'local', '1006 id=20200229062454.Horde.xYQprzGuyI4pCJ3_NZ4cGsC@mail.cup.com']"
51,cup,2020,02,29,06:24:54,1j7vYU-0000QH-NM => bertie <bertie@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7vYU-0000QH-NM', '=> bertie <bertie@mail.cup.com>', 'local_user', 'mail_spool']"
52,cup,2020,02,29,06:24:54,1j7vYU-0000QH-NM Completed,4695c7f2,<*> Completed,['1j7vYU-0000QH-NM']
53,cup,2020,02,29,06:26:15,1j7vZn-0000SB-9S <= root@mail.cup.com U=root P=local S=1511601,f37316a2,<*> <= root@mail.cup.com U=<*> P=<*> S=<*>,"['1j7vZn-0000SB-9S', 'root', 'local', '1511601']"
54,cup,2020,02,29,06:26:15,1j7vZn-0000SB-9S => /var/mail/mail <root@mail.cup.com> R=mail4root T=address_file,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7vZn-0000SB-9S', '=> /var/mail/mail <root@mail.cup.com>', 'mail4root', 'address_file']"
55,cup,2020,02,29,06:26:15,1j7vZn-0000SB-9S Completed,4695c7f2,<*> Completed,['1j7vZn-0000SB-9S']
56,cup,2020,02,29,06:32:13,1j7vfZ-0000Sy-2C <= georgie@mail.cup.com U=www-data P=local S=4162 id=20200229063212.Horde.hsaZJuJpnkDOazdfxKe030D@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7vfZ-0000Sy-2C', '<= georgie@mail.cup.com', 'www-data', 'local', '4162 id=20200229063212.Horde.hsaZJuJpnkDOazdfxKe030D@mail.cup.com']"
57,cup,2020,02,29,06:32:13,1j7vfZ-0000Sy-2C => karri <karri@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7vfZ-0000Sy-2C', '=> karri <karri@mail.cup.com>', 'local_user', 'mail_spool']"
58,cup,2020,02,29,06:32:13,1j7vfZ-0000Sy-2C => portia <portia@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7vfZ-0000Sy-2C', '=> portia <portia@mail.cup.com>', 'local_user', 'mail_spool']"
59,cup,2020,02,29,06:32:13,1j7vfZ-0000Sy-2C Completed,4695c7f2,<*> Completed,['1j7vfZ-0000Sy-2C']
60,cup,2020,02,29,06:34:25,Start queue run: pid=1817,86cf1be4,Start queue run: pid=<*>,['1817']
61,cup,2020,02,29,06:34:25,End queue run: pid=1817,3c82302c,End queue run: pid=<*>,['1817']
62,cup,2020,02,29,06:39:07,1j7vmF-0000UB-Ds <= georgie@mail.cup.com U=www-data P=local S=4533 id=20200229063907.Horde.LKIATYkbBUlW0Ut-bIJh7id@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7vmF-0000UB-Ds', '<= georgie@mail.cup.com', 'www-data', 'local', '4533 id=20200229063907.Horde.LKIATYkbBUlW0Ut-bIJh7id@mail.cup.com']"
63,cup,2020,02,29,06:39:07,1j7vmF-0000UB-Ds => karri <karri@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7vmF-0000UB-Ds', '=> karri <karri@mail.cup.com>', 'local_user', 'mail_spool']"
64,cup,2020,02,29,06:39:07,1j7vmF-0000UB-Ds => portia <portia@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7vmF-0000UB-Ds', '=> portia <portia@mail.cup.com>', 'local_user', 'mail_spool']"
65,cup,2020,02,29,06:39:07,1j7vmF-0000UB-Ds Completed,4695c7f2,<*> Completed,['1j7vmF-0000UB-Ds']
66,cup,2020,02,29,06:42:42,1j7vpi-0000Vp-0C <= georgie@mail.cup.com U=www-data P=local S=1369 id=20200229064241.Horde.tiqq-U4MLUcesca6c0CSET3@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7vpi-0000Vp-0C', '<= georgie@mail.cup.com', 'www-data', 'local', '1369 id=20200229064241.Horde.tiqq-U4MLUcesca6c0CSET3@mail.cup.com']"
67,cup,2020,02,29,06:42:42,1j7vpi-0000Vp-0C => page <page@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7vpi-0000Vp-0C', '=> page <page@mail.cup.com>', 'local_user', 'mail_spool']"
68,cup,2020,02,29,06:42:42,1j7vpi-0000Vp-0C Completed,4695c7f2,<*> Completed,['1j7vpi-0000Vp-0C']
69,cup,2020,02,29,06:44:33,1j7vrV-0000WO-8K <= georgie@mail.cup.com U=www-data P=local S=2149 id=20200229064433.Horde.Vwl4Ofdp4kU_rH5eaD8uAQI@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7vrV-0000WO-8K', '<= georgie@mail.cup.com', 'www-data', 'local', '2149 id=20200229064433.Horde.Vwl4Ofdp4kU_rH5eaD8uAQI@mail.cup.com']"
70,cup,2020,02,29,06:44:33,1j7vrV-0000WO-8K => bertie <bertie@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7vrV-0000WO-8K', '=> bertie <bertie@mail.cup.com>', 'local_user', 'mail_spool']"
71,cup,2020,02,29,06:44:33,1j7vrV-0000WO-8K Completed,4695c7f2,<*> Completed,['1j7vrV-0000WO-8K']
72,cup,2020,02,29,06:59:57,1j7w6P-0000Yu-FZ <= page@mail.cup.com U=www-data P=local S=1201 id=20200229065957.Horde.2R_HBWerh9FtCWlU5kozxi7@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7w6P-0000Yu-FZ', '<= page@mail.cup.com', 'www-data', 'local', '1201 id=20200229065957.Horde.2R_HBWerh9FtCWlU5kozxi7@mail.cup.com']"
73,cup,2020,02,29,06:59:57,1j7w6P-0000Yu-FZ => georgie <georgie@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7w6P-0000Yu-FZ', '=> georgie <georgie@mail.cup.com>', 'local_user', 'mail_spool']"
74,cup,2020,02,29,06:59:57,1j7w6P-0000Yu-FZ Completed,4695c7f2,<*> Completed,['1j7w6P-0000Yu-FZ']
75,cup,2020,02,29,07:04:25,Start queue run: pid=2197,86cf1be4,Start queue run: pid=<*>,['2197']
76,cup,2020,02,29,07:04:25,End queue run: pid=2197,3c82302c,End queue run: pid=<*>,['2197']
77,cup,2020,02,29,07:15:38,1j7wLa-0000cr-4a <= marcelina@mail.cup.com U=www-data P=local S=1124 id=20200229071537.Horde.EOsw1FZmXHG16JZt2mVI6Ay@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7wLa-0000cr-4a', '<= marcelina@mail.cup.com', 'www-data', 'local', '1124 id=20200229071537.Horde.EOsw1FZmXHG16JZt2mVI6Ay@mail.cup.com']"
78,cup,2020,02,29,07:15:38,1j7wLa-0000cr-4a => latrice <latrice@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7wLa-0000cr-4a', '=> latrice <latrice@mail.cup.com>', 'local_user', 'mail_spool']"
79,cup,2020,02,29,07:15:38,1j7wLa-0000cr-4a Completed,4695c7f2,<*> Completed,['1j7wLa-0000cr-4a']
80,cup,2020,02,29,07:16:07,1j7wM3-0000dK-1G <= danette@mail.cup.com U=www-data P=local S=2848 id=20200229071606.Horde.gHTaP-zk9iRetv4d10rZleh@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7wM3-0000dK-1G', '<= danette@mail.cup.com', 'www-data', 'local', '2848 id=20200229071606.Horde.gHTaP-zk9iRetv4d10rZleh@mail.cup.com']"
81,cup,2020,02,29,07:16:07,1j7wM3-0000dK-1G => sunni <sunni@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7wM3-0000dK-1G', '=> sunni <sunni@mail.cup.com>', 'local_user', 'mail_spool']"
82,cup,2020,02,29,07:16:07,1j7wM3-0000dK-1G => bertie <bertie@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7wM3-0000dK-1G', '=> bertie <bertie@mail.cup.com>', 'local_user', 'mail_spool']"
83,cup,2020,02,29,07:16:07,1j7wM3-0000dK-1G => irwin <irwin@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7wM3-0000dK-1G', '=> irwin <irwin@mail.cup.com>', 'local_user', 'mail_spool']"
84,cup,2020,02,29,07:16:07,1j7wM3-0000dK-1G Completed,4695c7f2,<*> Completed,['1j7wM3-0000dK-1G']
85,cup,2020,02,29,07:17:29,1j7wNN-0000dt-3o <= danette@mail.cup.com U=www-data P=local S=2665 id=20200229071728.Horde.vgc6CNL5SBTj7JfHh8tb4oL@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7wNN-0000dt-3o', '<= danette@mail.cup.com', 'www-data', 'local', '2665 id=20200229071728.Horde.vgc6CNL5SBTj7JfHh8tb4oL@mail.cup.com']"
86,cup,2020,02,29,07:17:29,1j7wNN-0000dt-3o => sunni <sunni@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7wNN-0000dt-3o', '=> sunni <sunni@mail.cup.com>', 'local_user', 'mail_spool']"
87,cup,2020,02,29,07:17:29,1j7wNN-0000dt-3o Completed,4695c7f2,<*> Completed,['1j7wNN-0000dt-3o']
88,cup,2020,02,29,07:25:20,1j7wUy-0000h0-LP <= danette@mail.cup.com U=www-data P=local S=4218 id=20200229072520.Horde.-R0tPKMz6AeFGuOCG7jnNyG@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7wUy-0000h0-LP', '<= danette@mail.cup.com', 'www-data', 'local', '4218 id=20200229072520.Horde.-R0tPKMz6AeFGuOCG7jnNyG@mail.cup.com']"
89,cup,2020,02,29,07:25:20,1j7wUy-0000h0-LP => sunni <sunni@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7wUy-0000h0-LP', '=> sunni <sunni@mail.cup.com>', 'local_user', 'mail_spool']"
90,cup,2020,02,29,07:25:20,1j7wUy-0000h0-LP Completed,4695c7f2,<*> Completed,['1j7wUy-0000h0-LP']
91,cup,2020,02,29,07:27:05,1j7wWf-0000ij-4I <= irwin@mail.cup.com U=www-data P=local S=1355 id=20200229072704.Horde._ucufyLlV-U3fBDyT3yJQDe@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7wWf-0000ij-4I', '<= irwin@mail.cup.com', 'www-data', 'local', '1355 id=20200229072704.Horde._ucufyLlV-U3fBDyT3yJQDe@mail.cup.com']"
92,cup,2020,02,29,07:27:05,1j7wWf-0000ij-4I => danette <danette@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7wWf-0000ij-4I', '=> danette <danette@mail.cup.com>', 'local_user', 'mail_spool']"
93,cup,2020,02,29,07:27:05,1j7wWf-0000ij-4I Completed,4695c7f2,<*> Completed,['1j7wWf-0000ij-4I']
94,cup,2020,02,29,07:32:05,1j7wbV-0000lW-8L <= marcelina@mail.cup.com U=www-data P=local S=1126 id=20200229073205.Horde.-fPZDqD9LzKKMkmO-QFR0tF@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7wbV-0000lW-8L', '<= marcelina@mail.cup.com', 'www-data', 'local', '1126 id=20200229073205.Horde.-fPZDqD9LzKKMkmO-QFR0tF@mail.cup.com']"
95,cup,2020,02,29,07:32:05,1j7wbV-0000lW-8L => georgie <georgie@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7wbV-0000lW-8L', '=> georgie <georgie@mail.cup.com>', 'local_user', 'mail_spool']"
96,cup,2020,02,29,07:32:05,1j7wbV-0000lW-8L Completed,4695c7f2,<*> Completed,['1j7wbV-0000lW-8L']
97,cup,2020,02,29,07:34:25,Start queue run: pid=3021,86cf1be4,Start queue run: pid=<*>,['3021']
98,cup,2020,02,29,07:34:25,End queue run: pid=3021,3c82302c,End queue run: pid=<*>,['3021']
99,cup,2020,02,29,07:41:09,1j7wkH-0000qK-NP <= danette@mail.cup.com U=www-data P=local S=1212 id=20200229074109.Horde.h_s0rpMtQI1MQH9GL-Ps5r5@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7wkH-0000qK-NP', '<= danette@mail.cup.com', 'www-data', 'local', '1212 id=20200229074109.Horde.h_s0rpMtQI1MQH9GL-Ps5r5@mail.cup.com']"
100,cup,2020,02,29,07:41:09,1j7wkH-0000qK-NP => irwin <irwin@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7wkH-0000qK-NP', '=> irwin <irwin@mail.cup.com>', 'local_user', 'mail_spool']"
101,cup,2020,02,29,07:41:09,1j7wkH-0000qK-NP Completed,4695c7f2,<*> Completed,['1j7wkH-0000qK-NP']
102,cup,2020,02,29,07:47:27,1j7wqN-0000sd-F3 <= danette@mail.cup.com U=www-data P=local S=3832 id=20200229074727.Horde.lwMhT2kAtLoTQSnwf6TokQX@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7wqN-0000sd-F3', '<= danette@mail.cup.com', 'www-data', 'local', '3832 id=20200229074727.Horde.lwMhT2kAtLoTQSnwf6TokQX@mail.cup.com']"
103,cup,2020,02,29,07:47:27,1j7wqN-0000sd-F3 => daryl <daryl@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7wqN-0000sd-F3', '=> daryl <daryl@mail.cup.com>', 'local_user', 'mail_spool']"
104,cup,2020,02,29,07:47:27,1j7wqN-0000sd-F3 Completed,4695c7f2,<*> Completed,['1j7wqN-0000sd-F3']
105,cup,2020,02,29,07:50:55,1j7wtj-0000tx-JJ <= marcelina@mail.cup.com U=www-data P=local S=1385 id=20200229075055.Horde.gIyrOJIri0MH7zy3vNLSius@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7wtj-0000tx-JJ', '<= marcelina@mail.cup.com', 'www-data', 'local', '1385 id=20200229075055.Horde.gIyrOJIri0MH7zy3vNLSius@mail.cup.com']"
106,cup,2020,02,29,07:50:55,1j7wtj-0000tx-JJ => georgie <georgie@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7wtj-0000tx-JJ', '=> georgie <georgie@mail.cup.com>', 'local_user', 'mail_spool']"
107,cup,2020,02,29,07:50:55,1j7wtj-0000tx-JJ Completed,4695c7f2,<*> Completed,['1j7wtj-0000tx-JJ']
108,cup,2020,02,29,08:01:10,1j7x3e-0000wQ-9o <= irwin@mail.cup.com U=www-data P=local S=3243 id=20200229080110.Horde.YA5Yy_ib5s-DbQU9-RM9CuI@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7x3e-0000wQ-9o', '<= irwin@mail.cup.com', 'www-data', 'local', '3243 id=20200229080110.Horde.YA5Yy_ib5s-DbQU9-RM9CuI@mail.cup.com']"
109,cup,2020,02,29,08:01:10,1j7x3e-0000wQ-9o => danette <danette@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7x3e-0000wQ-9o', '=> danette <danette@mail.cup.com>', 'local_user', 'mail_spool']"
110,cup,2020,02,29,08:01:10,1j7x3e-0000wQ-9o => sunni <sunni@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7x3e-0000wQ-9o', '=> sunni <sunni@mail.cup.com>', 'local_user', 'mail_spool']"
111,cup,2020,02,29,08:01:10,1j7x3e-0000wQ-9o => bertie <bertie@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7x3e-0000wQ-9o', '=> bertie <bertie@mail.cup.com>', 'local_user', 'mail_spool']"
112,cup,2020,02,29,08:01:10,1j7x3e-0000wQ-9o Completed,4695c7f2,<*> Completed,['1j7x3e-0000wQ-9o']
113,cup,2020,02,29,08:01:11,1j7x3f-0000wg-FD <= marcelina@mail.cup.com U=www-data P=local S=1216 id=20200229080111.Horde.8w8r3_xQ5Mkw9oRpTvhWm0w@mail.cup.com,fd3d2742,<*> <= <*> U=<*> P=<*> S=<*> <*>,"['1j7x3f-0000wg-FD', '<= marcelina@mail.cup.com', 'www-data', 'local', '1216 id=20200229080111.Horde.8w8r3_xQ5Mkw9oRpTvhWm0w@mail.cup.com']"
114,cup,2020,02,29,08:01:11,1j7x3f-0000wg-FD => tiny <tiny@mail.cup.com> R=local_user T=mail_spool,b255e569,<*> => <*> <*> R=<*> T=<*>,"['1j7x3f-0000wg-FD', '=> tiny <tiny@mail.cup.com>', 'local_user', 'mail_spool']"
115,cup,2020,02,29,08:01:11,1j7x3f-0000wg-FD Completed,4695c7f2,<*> Completed,['1j7x3f-0000wg-FD']
116,cup,2020,02,29,08:04:25,Start queue run: pid=3715,86cf1be4,Start queue run: pid=<*>,['3715']
117,cup,2020,02,29,08:04:25,End queue run: pid=3715,3c82302c,End queue run: pid=<*>,['3715']
